VEH_BODY_STYL_ID,PRSN_ETHNICITY_ID,Ethnic_count,Rank
AMBULANCE,WHITE,48,1
BUS,BLACK,87,1
FARM EQUIPMENT,WHITE,24,1
FIRE TRUCK,WHITE,37,1
MOTORCYCLE,WHITE,494,1
NA,WHITE,294,1
NEV-NEIGHBORHOOD ELECTRIC VEHICLE,WHITE,3,1
NOT REPORTED,WHITE,1,1
OTHER  (EXPLAIN IN NARRATIVE),WHITE,164,1
"PASSENGER CAR, 2-DOOR",WHITE,4711,1
"PASSENGER CAR, 4-DOOR",WHITE,25345,1
PICKUP,WHITE,18968,1
POLICE CAR/TRUCK,WHITE,182,1
POLICE MOTORCYCLE,WHITE,2,1
SPORT UTILITY VEHICLE,WHITE,15490,1
TRUCK,WHITE,1486,1
TRUCK TRACTOR,WHITE,1299,1
UNKNOWN,UNKNOWN,635,1
VAN,WHITE,2179,1
YELLOW SCHOOL BUS,BLACK,53,1
