VEH_MAKE_ID,count
FORD,7602
CHEVROLET,6655
TOYOTA,4561
DODGE,3209
NISSAN,2847
HONDA,2769
GMC,1233
JEEP,1177
HYUNDAI,1058
KIA,812
MAZDA,659
CHRYSLER,643
LEXUS,576
VOLKSWAGEN,567
MERCEDES-BENZ,456
BMW,451
PONTIAC,445
BUICK,412
CADILLAC,387
MITSUBISHI,377
ACURA,360
INFINITI,327
LINCOLN,288
MERCURY,263
SATURN,250
SUBARU,190
AUDI,148
VOLVO,139
ISUZU,103
FREIGHTLINER,84
SUZUKI,82
OLDSMOBILE,82
RAM,77
LAND ROVER,74
MINI,67
INTERNATIONAL,59
NA,48
HUMMER,47
HARLEY-DAVIDSON,44
PORSCHE,43
JAGUAR,38
PETERBILT,30
KENWORTH,29
FIAT,26
PLYMOUTH,24
HINO,17
SAAB,16
KAWASAKI,13
MACK,13
UNKNOWN,12
JOHN DEERE,9
SMART,9
YAMAHA,8
GM,7
GEO,5
OTHER (EXPLAIN IN NARRATIVE),5
TESLA,4
REQUIRES INTERPRETATION,4
STERLING,3
ALL OTHER MAKES,3
PIERCE,2
GILLIG,2
NISSAN DIESEL,2
NORTH AMERICAN BUS,2
DAEWOO,2
VICTORY,2
MCLAREN,1
POLARIS,1
BENTLEY,1
BUGATTI,1
DUCATI,1
MASERATI,1
WORKHORSE,1
AUTOCAR LLC,1
WESTERN STAR,1
INTERMOUNTAIN WHOLE SALE INC,1
VAN HOOL,1
ULTRA LITE MFG,1
AM GENERAL,1
INTERNATIONAL TRAILER CORP,1
DATSUN,1
IC CORPORATION,1
CHALLENGE-COOK BROTHERS INC,1
INTERNATIONAL TANK & TRAILER CORP,1
PIAGGIO,1
AMERICAN MOTORS,1
